2022-01-17 14:07:29.095 DEBUG 4475 --- [http-nio-8080-exec-10] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.097 DEBUG 4475 --- [http-nio-8080-exec-6] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.097 DEBUG 4475 --- [http-nio-8080-exec-7] o.s.web.servlet.DispatcherServlet        : GET "/img/callblack.png", parameters={}
2022-01-17 14:07:29.099 DEBUG 4475 --- [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet        : GET "/img/email2.png", parameters={}
2022-01-17 14:07:29.101 DEBUG 4475 --- [http-nio-8080-exec-8] o.s.web.servlet.DispatcherServlet        : GET "/img/calendar.png", parameters={}
2022-01-17 14:07:29.139 DEBUG 4475 --- [http-nio-8080-exec-2] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.139 DEBUG 4475 --- [http-nio-8080-exec-8] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.139 DEBUG 4475 --- [http-nio-8080-exec-7] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.141 DEBUG 4475 --- [http-nio-8080-exec-8] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.142 DEBUG 4475 --- [http-nio-8080-exec-7] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.142 DEBUG 4475 --- [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.145 DEBUG 4475 --- [http-nio-8080-exec-10] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.154 DEBUG 4475 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.155 DEBUG 4475 --- [http-nio-8080-exec-4] o.s.web.servlet.DispatcherServlet        : GET "/img/light_car.png", parameters={}
2022-01-17 14:07:29.156 DEBUG 4475 --- [http-nio-8080-exec-4] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.157 DEBUG 4475 --- [http-nio-8080-exec-5] o.s.web.servlet.DispatcherServlet        : GET "/img/segment_medium.png", parameters={}
2022-01-17 14:07:29.162 DEBUG 4475 --- [http-nio-8080-exec-5] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.165 DEBUG 4475 --- [http-nio-8080-exec-4] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.166 DEBUG 4475 --- [http-nio-8080-exec-5] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.168 DEBUG 4475 --- [http-nio-8080-exec-3] o.s.web.servlet.DispatcherServlet        : GET "/img/medium_car.png", parameters={}
2022-01-17 14:07:29.168 DEBUG 4475 --- [http-nio-8080-exec-9] o.s.web.servlet.DispatcherServlet        : GET "/img/large_car.png", parameters={}
